2020-10-22 - 09:26; user:zuber; 83.15.242.205; krok:zalogowany
2020-10-22 - 09:30; user:zuber; 83.15.242.205; krok:1:zuber
2020-10-22 - 09:32; user:zuber; 83.15.242.205; krok:a:1:{s:2:"do";s:14:"agreementsList";}:zuber
2020-10-22 - 09:32; user:zuber; 83.15.242.205; krok:a:1:{s:2:"do";s:11:"clientsList";}:zuber
2020-10-22 - 09:32; user:zuber; 83.15.242.205; krok:a:1:{s:2:"do";s:12:"paymentsList";}:zuber
2020-10-22 - 09:32; user:zuber; 83.15.242.205; krok:a:1:{s:2:"do";s:14:"agreementsList";}:zuber
2020-10-22 - 09:32; user:zuber; 83.15.242.205; krok:a:2:{s:2:"do";s:12:"detailsAgree";s:6:"agr_id";s:2:"32";}:zuber
2020-10-22 - 09:32; user:zuber; 83.15.242.205; krok:a:1:{s:2:"do";s:14:"agreementsList";}:zuber
2020-10-22 - 09:32; user:zuber; 83.15.242.205; krok:a:2:{s:2:"do";s:12:"detailsAgree";s:6:"agr_id";s:2:"34";}:zuber
2020-10-22 - 09:34; user:zuber; 83.15.242.205; krok:a:1:{s:2:"do";s:14:"agreementsList";}:zuber
2020-10-22 - 09:34; user:zuber; 83.15.242.205; krok:a:1:{s:2:"do";s:8:"addAgree";}:zuber
2020-10-22 - 09:34; user:zuber; 83.15.242.205; krok:a:1:{s:2:"do";s:14:"agreementsList";}:zuber
2020-10-22 - 09:34; user:zuber; 83.15.242.205; krok:a:1:{s:2:"do";s:11:"clientsList";}:zuber
2020-10-22 - 09:34; user:zuber; 83.15.242.205; krok:a:1:{s:2:"do";s:14:"agreementsList";}:zuber
2020-10-22 - 09:34; user:zuber; 83.15.242.205; krok:a:2:{s:2:"do";s:9:"editAgree";s:6:"agr_id";s:2:"32";}:zuber
2020-10-22 - 09:36; user:zuber; 83.15.242.205; krok:a:1:{s:2:"do";s:14:"agreementsList";}:zuber
2020-10-22 - 09:36; user:zuber; 83.15.242.205; krok:a:2:{s:2:"do";s:12:"detailsAgree";s:6:"agr_id";s:2:"32";}:zuber
